Problem Names,-1=>-2,False=>-2,False=>-1,True=>-2,True=>-1,True=>False
competition/2265,0,0,0,0,0,0
introductory/4122,0,0,0,0,0,0
interview/1462,0,0,0,0,0,0
interview/1380,0,0,0,0,0,0
interview/0033,0,0,1,0,0,0
introductory/3002,0,0,0,0,0,0
interview/1416,0,0,0,0,0,0
competition/2164,0,0,0,0,0,1
introductory/4052,0,0,0,0,0,0
introductory/3009,0,0,0,0,0,0
introductory/2607,0,0,0,0,0,0
introductory/3012,0,0,0,0,0,0
interview/1926,0,0,0,0,0,0
introductory/4029,0,0,0,0,0,0
interview/0569,0,0,0,0,0,0
interview/0493,0,0,0,0,0,0
interview/1875,0,0,0,0,0,0
introductory/4021,0,0,0,0,0,0
introductory/4010,0,0,0,0,0,0
competition/2344,0,0,0,0,0,0
introductory/4042,0,0,0,0,0,0
introductory/4004,0,0,0,0,0,0
interview/0012,0,0,0,0,0,0
competition/2285,0,0,0,0,0,0
introductory/3016,0,0,0,0,0,0
interview/1491,0,0,0,0,0,1
interview/1742,0,0,0,0,0,0
competition/2200,0,0,0,0,0,0
introductory/4063,0,0,0,0,0,0
introductory/4030,0,0,0,0,0,0
competition/2172,0,0,0,0,0,0
competition/2004,0,0,0,0,0,8
introductory/4158,0,0,0,0,0,0
competition/2085,0,0,0,0,0,0
interview/0005,0,0,0,0,0,0
competition/2000,0,0,0,0,0,0
competition/2279,0,0,0,0,0,0
competition/2345,0,0,0,0,0,0
introductory/4073,0,0,0,0,0,0
introductory/2510,0,0,0,0,0,0
interview/1310,0,0,0,0,0,0
interview/1069,0,0,0,0,0,0
interview/1290,0,0,0,0,0,0
interview/1540,0,0,0,0,0,0
introductory/2451,0,0,0,0,0,0
competition/2011,0,0,0,0,0,2
interview/0029,0,0,0,0,0,0
competition/2209,0,0,6,0,1,0
interview/1357,0,0,0,0,0,0
introductory/3433,0,0,0,0,0,0
introductory/4081,0,0,0,0,0,0
introductory/4114,0,0,0,0,0,0
competition/2195,0,0,0,0,0,0
introductory/4045,0,0,0,0,0,0
competition/2190,0,0,0,0,0,0
introductory/4062,0,0,0,0,0,0
introductory/4049,0,0,0,0,0,0
introductory/2537,0,0,0,0,0,0
introductory/4011,0,0,0,0,0,0
interview/1693,0,0,0,0,0,0
competition/2013,0,0,0,0,0,0
competition/2088,0,13,0,0,0,0
competition/2294,0,0,0,0,0,0
interview/1934,0,0,0,0,0,0
competition/2149,0,0,0,0,0,0
introductory/2361,0,0,0,0,0,0
interview/1375,0,0,0,0,0,0
interview/1477,0,0,0,0,0,0
interview/1861,0,0,0,0,0,0
introductory/4137,0,0,0,0,0,0
competition/2360,0,0,0,0,0,0
introductory/4001,0,0,0,0,0,0
introductory/3940,0,0,0,0,0,0
introductory/4171,0,0,0,0,0,0
introductory/3025,0,0,0,0,0,0
interview/1922,0,0,0,0,0,0
interview/0203,0,0,0,0,0,0
interview/1982,0,0,0,0,0,0
interview/0026,0,0,0,0,0,0
introductory/4057,0,0,0,0,0,0
